,author,feature,token_id,doc_id,to_report,doc_tested,len
50171,DtrH,c,31215,DtrH|2Kgs.22,True,2Kgs.22,574
50172,DtrH,8141,31216,DtrH|2Kgs.22,True,2Kgs.22,574
50173,DtrH,4427,31217,DtrH|2Kgs.22,True,2Kgs.22,574
50174,DtrH,b,31218,DtrH|2Kgs.22,True,2Kgs.22,574
50175,DtrH,<Np>,31218,DtrH|2Kgs.22,True,2Kgs.22,574
50176,DtrH,c,31219,DtrH|2Kgs.22,True,2Kgs.22,574
50177,DtrH,8034,31219,DtrH|2Kgs.22,True,2Kgs.22,574
50178,DtrH,517,31220,DtrH|2Kgs.22,True,2Kgs.22,574
50179,DtrH,[Sp3ms],31220,DtrH|2Kgs.22,True,2Kgs.22,574
50180,DtrH,<Np>,31221,DtrH|2Kgs.22,True,2Kgs.22,574
50181,DtrH,1323,31222,DtrH|2Kgs.22,True,2Kgs.22,574
50182,DtrH,<Np>,31223,DtrH|2Kgs.22,True,2Kgs.22,574
50183,DtrH,m,31224,DtrH|2Kgs.22,True,2Kgs.22,574
50184,DtrH,<Np>,31224,DtrH|2Kgs.22,True,2Kgs.22,574
50185,DtrH,c,31225,DtrH|2Kgs.22,True,2Kgs.22,574
50186,DtrH,6213,31225,DtrH|2Kgs.22,True,2Kgs.22,574
50187,DtrH,d,31226,DtrH|2Kgs.22,True,2Kgs.22,574
50188,DtrH,3477,31226,DtrH|2Kgs.22,True,2Kgs.22,574
50189,DtrH,5869,31227,DtrH|2Kgs.22,True,2Kgs.22,574
50190,DtrH,b,31227,DtrH|2Kgs.22,True,2Kgs.22,574
50191,DtrH,<Np>,31228,DtrH|2Kgs.22,True,2Kgs.22,574
50192,DtrH,3212,31229,DtrH|2Kgs.22,True,2Kgs.22,574
50193,DtrH,c,31229,DtrH|2Kgs.22,True,2Kgs.22,574
50194,DtrH,3605,31230,DtrH|2Kgs.22,True,2Kgs.22,574
50195,DtrH,b,31230,DtrH|2Kgs.22,True,2Kgs.22,574
50196,DtrH,1870,31231,DtrH|2Kgs.22,True,2Kgs.22,574
50197,DtrH,<Np>,31232,DtrH|2Kgs.22,True,2Kgs.22,574
50198,DtrH,[Sp3ms],31233,DtrH|2Kgs.22,True,2Kgs.22,574
50199,DtrH,1,31233,DtrH|2Kgs.22,True,2Kgs.22,574
50200,DtrH,3808,31234,DtrH|2Kgs.22,True,2Kgs.22,574
50201,DtrH,c,31234,DtrH|2Kgs.22,True,2Kgs.22,574
50202,DtrH,5493,31235,DtrH|2Kgs.22,True,2Kgs.22,574
50203,DtrH,3225,31236,DtrH|2Kgs.22,True,2Kgs.22,574
50204,DtrH,c,31237,DtrH|2Kgs.22,True,2Kgs.22,574
50205,DtrH,8040,31237,DtrH|2Kgs.22,True,2Kgs.22,574
50206,DtrH,c,31238,DtrH|2Kgs.22,True,2Kgs.22,574
50207,DtrH,1961,31238,DtrH|2Kgs.22,True,2Kgs.22,574
50208,DtrH,b,31239,DtrH|2Kgs.22,True,2Kgs.22,574
50209,DtrH,8083,31239,DtrH|2Kgs.22,True,2Kgs.22,574
50210,DtrH,6240,31240,DtrH|2Kgs.22,True,2Kgs.22,574
